student_id,name,math,physics,chemistry,english,computer_science
S001,Ahmed Sheikh,83.0,42.0,79.0,35.0,90.0
S002,Ali Abbasi,41.0,54.0,nan,79.0,98.0
S003,Bilal Iqbal,91.0,59.0,90.0,88.0,96.0
S004,Danish Chaudhry,99.0,inf,91.0,73.0,39.0
S005,Faisal Chaudhry,nan,83.0,36.0,99.0,51.0
S006,Hamza Farooq,66.0,79.0,58.0,45.0,70.0
S007,Imran Farooq,99.0,96.0,42.0,58.0,56.0
S008,Junaid Awan,70.0,54.0,62.0,nan,54.0
S009,Kashif Abbasi,68.0,65.0,92.0,66.0,37.0
S010,Mohsin Javed,85.0,53.0,56.0,93.0,inf
S011,Nasir Farooq,51.0,47.0,44.0,49.0,55.0
S012,Omar Hussain,88.0,50.0,94.0,70.0,83.0
S013,Qasim Abbasi,39.0,nan,89.0,78.0,85.0
S014,Rashid Javed,74.0,38.0,64.0,47.0,64.0
S015,Saad Qureshi,43.0,89.0,73.0,56.0,79.0
S016,Tariq Qureshi,42.0,87.0,76.0,64.0,nan
S017,Usman Hussain,99.0,97.0,47.0,41.0,69.0
S018,Ayesha Farooq,94.0,52.0,40.0,84.0,89.0
S019,Sana Iqbal,89.0,82.0,nan,56.0,39.0
S020,Hina Sheikh,30.0,30.0,30.0,30.0,30.0
